dept,nom_commune,insee_com,annee_cible,annee_source,est_fallback,taux_global_tfb,taux_global_tfnb,taux_plein_teom,taux_global_th
01,Bourg-en-Bresse,01053,2021,2021,False,38.81,118.52,9.95,28.64
01,Bourg-en-Bresse,01053,2022,2022,False,38.82,118.47,9.95,28.63
01,Bourg-en-Bresse,01053,2023,2023,False,38.82,118.53,9.95,28.62
01,Bourg-en-Bresse,01053,2024,2024,False,40.25,121.52,9.95,29.62
02,Laon,02408,2021,2021,False,64.73,76.43,,36.77
02,Laon,02408,2022,2022,False,64.73,76.43,,36.77
02,Laon,02408,2023,2023,False,64.73,76.43,,36.77
02,Laon,02408,2024,2024,False,65.56,77.5,,37.79
03,Moulins,03190,2021,2021,False,41.7,85.0,12.04,28.87
03,Moulins,03190,2022,2022,False,41.7,85.0,11.93,28.87
03,Moulins,03190,2023,2023,False,41.7,85.0,12.18,28.87
03,Moulins,03190,2024,2024,False,41.7,85.0,12.42,28.87
04,Digne-les-Bains,04070,2021,2021,False,68.51,146.2,12.0,30.02
04,Digne-les-Bains,04070,2022,2022,False,70.83,146.84,14.0,30.34
04,Digne-les-Bains,04070,2023,2023,False,70.86,146.74,14.0,30.12
04,Digne-les-Bains,04070,2024,2024,False,68.38,146.65,14.0,30.15
05,Gap,05061,2021,2021,False,62.05,226.0,8.65,19.37
05,Gap,05061,2022,2022,False,62.05,225.98,8.65,19.36
05,Gap,05061,2023,2023,False,62.04,225.95,9.52,19.35
05,Gap,05061,2024,2024,False,62.04,225.93,12.0,19.36
06,Nice,06088,2021,2021,False,36.21,49.61,8.46,29.38
06,Nice,06088,2022,2022,False,36.21,49.6,8.46,29.37
06,Nice,06088,2023,2023,False,36.2,49.57,10.46,29.36
06,Nice,06088,2024,2024,False,42.41,56.44,10.46,34.2
07,Privas,07186,2021,2021,False,49.04,216.33,13.95,27.34
07,Privas,07186,2022,2022,False,49.04,216.21,13.95,27.69
07,Privas,07186,2023,2023,False,49.05,216.31,13.95,27.26
07,Privas,07186,2024,2024,False,49.03,216.2,13.95,27.31
08,Charleville-Mézières,08105,2021,2021,False,54.96,100.31,10.4,30.99
08,Charleville-Mézières,08105,2022,2022,False,54.99,100.32,10.25,31.0
08,Charleville-Mézières,08105,2023,2023,False,55.48,101.05,10.1,31.43
08,Charleville-Mézières,08105,2024,2024,False,55.47,101.06,10.1,31.59
09,Foix,09122,2021,2021,False,47.34,152.33,13.58,21.85
09,Foix,09122,2022,2022,False,48.15,152.65,13.75,21.7
09,Foix,09122,2023,2023,False,48.34,153.56,13.6,21.81
09,Foix,09122,2024,2024,False,49.2,154.6,13.6,22.11
10,Troyes,10387,2021,2021,False,47.29,41.36,8.82,29.97
10,Troyes,10387,2022,2022,False,47.36,41.35,11.5,30.52
10,Troyes,10387,2023,2023,False,54.17,41.45,11.5,29.78
10,Troyes,10387,2024,2024,False,54.14,41.35,10.95,30.02
11,Carcassonne,11069,2021,2021,False,73.56,193.0,12.1,29.11
11,Carcassonne,11069,2022,2022,False,73.39,192.71,12.1,29.28
11,Carcassonne,11069,2023,2023,False,73.47,192.98,12.1,28.95
11,Carcassonne,11069,2024,2024,False,73.53,193.21,12.1,29.18
12,Rodez,12202,2021,2021,False,48.51,169.08,10.03,24.13
12,Rodez,12202,2022,2022,False,48.51,168.81,10.03,24.1
12,Rodez,12202,2023,2023,False,48.55,169.04,10.23,24.1
12,Rodez,12202,2024,2024,False,48.53,168.91,10.23,24.16
13,Marseille,13055,2021,2021,False,42.33,49.08,18.1,41.16
13,Marseille,13055,2022,2022,False,47.82,49.09,18.1,41.5
13,Marseille,13055,2023,2023,False,47.93,49.12,18.1,41.81
13,Marseille,13055,2024,2024,False,47.87,49.02,18.1,42.0
14,Caen,14118,2021,2021,False,52.1,69.21,10.74,25.28
14,Caen,14118,2022,2022,False,52.11,69.19,10.74,25.28
14,Caen,14118,2023,2023,False,52.69,69.99,10.74,25.64
14,Caen,14118,2024,2024,False,52.65,69.92,10.74,25.8
15,Aurillac,15014,2021,2021,False,51.5,208.63,10.25,33.07
15,Aurillac,15014,2022,2022,False,53.5,208.63,10.4,33.07
15,Aurillac,15014,2023,2023,False,53.5,208.63,10.65,33.07
15,Aurillac,15014,2024,2024,False,53.5,208.63,10.65,33.07
16,Angoulême,16015,2021,2021,False,62.43,124.23,10.3,27.78
16,Angoulême,16015,2022,2022,False,62.43,124.18,10.3,27.84
16,Angoulême,16015,2023,2023,False,62.45,124.38,10.3,27.74
16,Angoulême,16015,2024,2024,False,62.45,124.2,10.3,27.81
17,La Rochelle,17300,2021,2021,False,54.86,98.15,9.13,27.51
17,La Rochelle,17300,2022,2022,False,55.25,98.89,9.31,28.04
17,La Rochelle,17300,2023,2023,False,55.29,99.11,9.59,27.92
17,La Rochelle,17300,2024,2024,False,55.25,98.94,9.88,27.99
18,Bourges,18033,2021,2021,False,45.92,73.84,8.45,28.69
18,Bourges,18033,2022,2022,False,45.92,73.84,10.45,28.69
18,Bourges,18033,2023,2023,False,45.92,73.84,10.45,28.69
18,Bourges,18033,2024,2024,False,45.92,73.84,10.45,28.69
19,Tulle,19272,2021,2021,False,55.32,173.44,10.2,19.42
19,Tulle,19272,2022,2022,False,56.31,173.38,10.2,19.4
19,Tulle,19272,2023,2023,False,56.31,173.54,10.2,19.4
19,Tulle,19272,2024,2024,False,56.3,173.36,10.2,19.42
21,Dijon,21231,2021,2021,False,51.28,136.21,6.4,33.37
21,Dijon,21231,2022,2022,False,52.08,136.3,6.4,33.39
21,Dijon,21231,2023,2023,False,52.06,136.13,6.4,33.36
21,Dijon,21231,2024,2024,False,52.05,136.1,6.4,33.55
22,Saint-Brieuc,22278,2021,2021,False,49.54,101.68,10.4,38.94
22,Saint-Brieuc,22278,2022,2022,False,49.52,101.57,11.44,39.04
22,Saint-Brieuc,22278,2023,2023,False,49.55,101.7,12.5,38.82
22,Saint-Brieuc,22278,2024,2024,False,49.53,101.61,12.5,38.9
23,Guéret,23096,2021,2021,False,50.99,141.54,8.78,30.84
23,Guéret,23096,2022,2022,False,50.99,141.41,8.85,30.87
23,Guéret,23096,2023,2023,False,51.02,141.62,7.71,30.74
23,Guéret,23096,2024,2024,False,51.0,141.41,9.16,30.79
24,Périgueux,24322,2021,2021,False,72.78,186.92,12.0,22.45
24,Périgueux,24322,2022,2022,False,73.76,186.84,12.5,22.49
24,Périgueux,24322,2023,2023,False,73.78,187.02,,22.36
24,Périgueux,24322,2024,2024,False,73.75,186.79,,22.41
25,Besançon,25056,2021,2021,False,45.56,59.72,,32.19
25,Besançon,25056,2022,2022,False,45.62,59.77,,32.34
25,Besançon,25056,2023,2023,False,45.64,60.11,,32.25
25,Besançon,25056,2024,2024,False,45.63,59.79,,32.33
26,Valence,26362,2021,2021,False,45.36,102.36,7.95,26.54
26,Valence,26362,2022,2022,False,45.37,102.21,8.25,27.03
26,Valence,26362,2023,2023,False,45.41,102.32,8.25,26.38
26,Valence,26362,2024,2024,False,45.37,102.21,8.25,26.57
27,Évreux,27229,2021,2021,False,57.66,126.23,12.15,28.69
27,Évreux,27229,2022,2022,False,58.83,127.97,12.15,30.12
27,Évreux,27229,2023,2023,False,59.78,130.23,14.38,32.09
27,Évreux,27229,2024,2024,False,59.7,130.12,14.38,32.4
28,Chartres,28085,2021,2021,False,56.06,72.28,11.5,27.27
28,Chartres,28085,2022,2022,False,56.12,72.17,11.5,27.42
28,Chartres,28085,2023,2023,False,56.17,72.2,11.5,27.05
28,Chartres,28085,2024,2024,False,56.12,72.17,11.5,27.18
29,Quimper,29232,2021,2021,False,39.93,97.15,7.67,30.27
29,Quimper,29232,2022,2022,False,39.9,97.04,7.67,30.24
29,Quimper,29232,2023,2023,False,42.28,97.03,7.67,30.23
29,Quimper,29232,2024,2024,False,42.28,97.02,7.67,30.25
2A,Ajaccio,2A004,2021,2021,False,37.23,85.26,20.57,35.21
2A,Ajaccio,2A004,2022,2022,False,37.32,85.46,20.57,35.51
2A,Ajaccio,2A004,2023,2023,False,37.55,85.81,20.57,35.62
2A,Ajaccio,2A004,2024,2024,False,37.93,86.61,20.57,36.6
2B,Bastia,2B033,2021,2021,False,39.19,106.32,16.36,33.0
2B,Bastia,2B033,2022,2022,False,39.25,106.32,16.36,33.45
2B,Bastia,2B033,2023,2023,False,39.41,106.38,16.36,33.24
2B,Bastia,2B033,2024,2024,False,39.31,106.48,16.36,33.5
30,Nîmes,30189,2021,2021,False,53.94,142.14,11.71,41.11
30,Nîmes,30189,2022,2022,False,53.94,141.9,11.71,41.34
