"Libellé";"Index du bâtiment - BT01 - Tous corps d'état - Base 2010";"Codes";""
"idBank";"001710986";"";""
"Dernière mise à jour";"13/03/2026 12:00";"";""
"Période";"";"";"Date de parution au JO"
"2025-12";"133.7";"A";"15/02/2026"
"2025-11";"133.3";"A";"17/01/2026"
"2025-10";"133.2";"A";"13/12/2025"
"2025-09";"133.3";"A";"15/11/2025"
"2025-08";"133.7";"A";"17/10/2025"
"2025-07";"133.4";"A";"13/09/2025"
"2025-06";"133.1";"A";"17/08/2025"
"2025-05";"132.9";"A";"13/07/2025"
"2025-04";"132.9";"A";"15/06/2025"
"2025-03";"132.5";"A";"16/05/2025"
"2025-02";"132.1";"A";"16/04/2025"
"2025-01";"132.0";"A";"15/03/2025"
"2024-12";"131.7";"A";"16/02/2025"
"2024-11";"131.5";"A";"16/01/2025"
"2024-10";"131.2";"A";"19/12/2024"
"2024-09";"131.2";"A";"17/11/2024"
"2024-08";"131.7";"A";"16/10/2024"
"2024-07";"131.2";"A";"14/09/2024"
"2024-06";"131.2";"A";"14/08/2024"
"2024-05";"131.3";"A";"16/07/2024"
"2024-04";"131.0";"A";"18/06/2024"
"2024-03";"130.9";"A";"16/05/2024"
"2024-02";"131.0";"A";"17/04/2024"
"2024-01";"130.8";"A";"22/03/2024"
"2023-12";"130.6";"A";"17/02/2024"
"2023-11";"130.3";"A";"17/01/2024"
"2023-10";"130.3";"A";"17/12/2023"
"2023-09";"130.2";"A";"16/11/2023"
"2023-08";"130.6";"A";"14/10/2023"
"2023-07";"129.7";"A";"16/09/2023"
"2023-06";"130.3";"A";"12/08/2023"
"2023-05";"130.3";"A";"16/07/2023"
"2023-04";"130.5";"A";"21/06/2023"
"2023-03";"130.6";"A";"13/05/2023"
"2023-02";"129.7";"A";"16/04/2023"
"2023-01";"128.4";"A";"16/03/2023"
"2022-12";"126.8";"A";"16/02/2023"
"2022-11";"127.2";"A";"14/01/2023"
"2022-10";"127.2";"A";"16/12/2022"
"2022-09";"127.1";"A";"23/11/2022"
"2022-08";"127.9";"A";"15/10/2022"
"2022-07";"127.7";"A";"16/09/2022"
"2022-06";"127.2";"A";"13/08/2022"
"2022-05";"126.4";"A";"14/07/2022"
"2022-04";"124.9";"A";"17/06/2022"
"2022-03";"123.3";"A";"14/05/2022"
"2022-02";"122.2";"A";"04/05/2022"
"2022-01";"121.4";"A";"22/04/2022"
"2021-12";"119.7";"A";"17/03/2022"
"2021-11";"119.5";"A";"18/02/2022"
"2021-10";"119.1";"A";"19/01/2022"
"2021-09";"118.6";"A";"16/12/2021"
"2021-08";"118.5";"A";"23/11/2021"
"2021-07";"118.5";"A";"16/10/2021"
"2021-06";"117.5";"A";"17/09/2021"
"2021-05";"116.6";"A";"23/08/2021"
"2021-04";"116.3";"A";"23/07/2021"
"2021-03";"116.1";"A";"18/06/2021"
"2021-02";"115.2";"A";"21/05/2021"
"2021-01";"114.4";"A";"17/04/2021"
"2020-12";"113.6";"A";"20/03/2021"
"2020-11";"113.2";"A";"19/02/2021"
"2020-10";"112.9";"A";"17/01/2021"
"2020-09";"112.9";"A";"17/01/2021"
"2020-08";"112.5";"A";"17/01/2021"
"2020-07";"112.2";"A";"17/01/2021"
"2020-06";"112.0";"A";"16/09/2020"
"2020-05";"111.7";"A";"23/08/2020"
"2020-04";"111.5";"A";"17/07/2020"
"2020-03";"111.7";"A";"19/06/2020"
"2020-02";"111.8";"A";"16/05/2020"
"2020-01";"111.8";"A";"14/05/2020"
